"17/18" "17/18" "12/13" "20/23" "X/Y" "13/14" "29/29" "12/17" "13/15" "6/9.3" "22/25" "16/17" "15/18" "9/11" "17/22" "X/X" "10/10" "30/30" "15/19" "14/14" "7/8" "20/20" 0.181159 0.208213 0.259309 0.224939 0.256528 0.243913 0.193714 0.202558 0.218858 0.190999 0.216987 0.219039 525.14 715.967 37.4016 130.786
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/18" "12/13" "22/23" "X/Y" "10/13" "29/29" "15/19" "14/15" "7/9.3" "22/25" 0.121458 0.153067 0.13227 0.0970549 0.113483 0.119454 0.0974356 0.181956 0.131742 0.123002 0.123717 0.124422 380.145 1343.26 17.7076 118.574
"16/17" "17/18" "11/12" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.293667 0.390698 0.332211 0.361389 0.369253 0.368582 0.324116 0.337326 0.268517 0.277158 0.344867 0.332812 2322.48 1128.88 67.7174 134.748
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.488428 0.494359 0.502502 0.477429 0.501044 0.480367 0.508823 0.505816 0.469497 0.431873 0.472706 0.478026 762.66 8.55567 97.0754 105.908
"16/17" "17/18" "9/11" "20/22" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "17/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0493464 0.047267 0.0305687 0.0423326 0.0295428 0.0554157 0.0820712 0.0258664 0.116095 0.0698499 0.0468065 0.029589 87.1255 3701.48 3.02859 67.5303
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.211212 0.158091 0.191749 0.209871 0.15325 0.236132 0.191786 0.1821 0.152006 0.167436 0.169278 0.19362 866.874 1500.53 33.3444 135.706
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "7/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "6/8" "22/25" 0.395951 0.337645 0.429793 0.399847 0.370832 0.377736 0.445618 0.413268 0.375792 0.394905 0.340777 0.383614 1604.17 394.908 79.8889 127.758
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "15/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "12/19" "14/15" "7/9.3" "22/25" 0.391939 0.327512 0.343429 0.37798 0.366631 0.351023 0.351057 0.356469 0.273179 0.330459 0.370502 0.350402 743.057 298.523 71.7745 132.207
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/13" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.202561 0.202861 0.22151 0.236987 0.205693 0.254246 0.258307 0.271064 0.235866 0.215439 0.202596 0.221106 314.307 396.912 39.909 138.066
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/29" "15/19" "14/15" "7/9.3" "22/25" 0.12586 0.135608 0.182993 0.138778 0.205546 0.139295 0.163434 0.19678 0.180031 0.227748 0.198938 0.175591 784.569 1729.08 26.7797 122.037
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "29/29" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.369972 0.379583 0.325841 0.380359 0.364537 0.401073 0.36597 0.354935 0.375297 0.339932 0.426787 0.376589 1062.69 294.164 78.3392 129.029
"16/17" "17/18" "9/11" "17/20" "X/Y" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/X" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.18223 0.205298 0.231738 0.152472 0.154693 0.152949 0.193691 0.195479 0.184702 0.190711 0.162898 0.168288 174.69 373.825 26.7797 128.408
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "15/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "13/14" "7/9.3" "22/25" 0.0599539 0.064596 0.0943262 0.130937 0.0959935 0.058133 0.149758 0.132428 0.0628637 0.040754 0.0834536 0.0766513 194.643 1251.55 9.59324 104.515
"16/16" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "17/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.391543 0.297796 0.370322 0.342506 0.332147 0.366056 0.35759 0.344739 0.351767 0.350337 0.334589 0.365613 755.414 232.025 74.282 128.154
"16/17" "17/18" "9/11" "17/20" "X/X" "14/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.202761 0.241363 0.335359 0.288031 0.232172 0.267468 0.256738 0.206091 0.240454 0.184139 0.253943 0.259538 1495.04 1398.54 48.0234 135.158
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "7/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "6/8" "22/25" 0.381502 0.273257 0.28428 0.289332 0.299378 0.343467 0.268739 0.323337 0.316965 0.234855 0.276053 0.303815 1513.04 915.475 58.6452 133.093
"16/17" "17/18" "12/13" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/11" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.482008 0.445411 0.498418 0.469593 0.431701 0.452104 0.504908 0.474943 0.502225 0.42636 0.442701 0.448535 1306.55 86.6464 93.0182 114.135
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/22" 0.441627 0.476748 0.419759 0.399672 0.416508 0.40074 0.440793 0.453101 0.42879 0.379611 0.486934 0.450517 2332.7 174.198 93.0182 113.232
"16/17" "17/18" "11/12" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0710418 0.0738081 0.0373083 0.0973941 0.104946 0.0544848 0.0828184 0.0558567 0.0738157 0.0764338 0.0547222 0.0665589 353.699 3372.2 7.08577 86.3486
"16/17" "17/18" "9/11" "17/22" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "20/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.406864 0.36912 0.393173 0.450923 0.380329 0.369817 0.412397 0.447588 0.458261 0.414652 0.457614 0.416769 3240.3 499.61 86.4535 120.585
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "15/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "12/19" "14/15" "7/9.3" "22/25" 0.373781 0.413082 0.337 0.370478 0.359692 0.307785 0.367009 0.332306 0.382182 0.393434 0.403784 0.388296 1208.64 273.818 79.8889 125.278
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/22" 0.251644 0.174521 0.220171 0.209058 0.240093 0.220163 0.253236 0.247562 0.203978 0.190089 0.250123 0.208812 761.968 1104.91 34.8941 129.425
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.100202 0.128283 0.155143 0.115193 0.163403 0.164057 0.16286 0.157118 0.113345 0.106754 0.159141 0.138168 703.544 2030.65 20.2151 120.855
"16/17" "17/18" "11/12" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.169634 0.159579 0.217873 0.220494 0.182691 0.236706 0.220925 0.231399 0.266764 0.24886 0.274826 0.217124 336.284 402.645 37.4016 132.252
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "14/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/15" "7/9.3" "22/25" 0.416098 0.481508 0.464676 0.428926 0.436271 0.448418 0.393328 0.441643 0.440632 0.35841 0.41342 0.43444 495.015 40.2669 90.5107 117.526
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.25968 0.205521 0.229294 0.280468 0.264024 0.200157 0.217613 0.256575 0.257678 0.252501 0.261893 0.249281 336.189 342.06 45.5159 135.061
"17/18" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.385328 0.444843 0.42909 0.379461 0.402229 0.40921 0.362181 0.374362 0.380719 0.37878 0.382795 0.394167 1552.72 371.269 82.3964 126.106
"16/17" "17/18" "9/11" "17/22" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "20/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0979957 0.0935599 0.103312 0.133676 0.142272 0.130239 0.135141 0.2246 0.123352 0.0844441 0.128786 0.106508 737.848 3216.81 13.6504 107.123
"16/17" "15/17" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "18/18" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.341297 0.406914 0.37769 0.317279 0.390152 0.312534 0.335306 0.381579 0.376005 0.352467 0.328078 0.346529 651.251 259.999 69.2671 129.736
